Tweet_count,Username,Text,Created At,Retweets,Likes,Location
96,Halle Berry,lady in red 💃🏽 https://t.co/zONCKLoozR,Tue Sep 24 20:58:56 +0000 2024,3670,78809,
97,kira 👾,wait a minute… https://t.co/dqMRaVBtPS,Mon Sep 23 20:33:00 +0000 2024,20136,299403,
98,🇺🇸Travis🇺🇸,"I never knew just how much Justin Bieber went through in Hollywood.  I hope he exposes them all, especially Diddy and his friend. https://t.co/kN8NLeHx1x",Sun Sep 22 16:34:57 +0000 2024,53571,429185,
99,Nick Sortor,"WOW! Apparently Kamala Harris had a freaking TELEPROMPTER during her “interview” with Oprah

Scamala Harris is a fraud! https://t.co/BZ7RGahJXs",Sun Sep 22 02:15:32 +0000 2024,23705,79180,
100,Pop Base,"Chappell Roan jokingly reacts to a fan using a Nintendo DS to record at her concert:

“B*tch is that a DS?… You keep taking photos on your DS, you keep doing it” https://t.co/7lTAaEsK4M",Sun Sep 22 00:10:58 +0000 2024,12056,243279,
101,Illy! Not Lilly 💋,"Funny, but can I get my eight seconds back? https://t.co/kzrxIIYril",Tue Sep 24 23:56:00 +0000 2024,8,98,
102,Scott Daley,#LinkinPark tonight in London performing In The End. Feat. Emily in the crowd! What a night ❤️ https://t.co/8XkkQfZbhx,Tue Sep 24 23:51:55 +0000 2024,165,1639,
103,Buffalo Bills,"🎶 It's the story of a man named Brady. 🎶

#GoBills | #BillsMafia https://t.co/29PAFiPvAP",Tue Sep 24 23:50:00 +0000 2024,203,2617,
104,Raltzy,The reason deltarune chapters take so long to release is because gaster keeps getting the password wrong when trying to hack into the undertale account https://t.co/nbU3FdpISD,Tue Sep 24 23:57:39 +0000 2024,561,4062,
105,*,"Khaliifah Marcellus Williams (left),with his family. 
Via Innocence Project. Courtesy of the Williams family. https://t.co/lsqAF7hKmH",Tue Sep 24 23:54:03 +0000 2024,14678,59749,
106,AMABLACKPATRIOT,Well!!!!! https://t.co/I7N5zyBSFK,Tue Sep 24 23:54:22 +0000 2024,25,119,
107,louis 🍉,my mutuals are the worst https://t.co/wY89Cqavcu,Tue Sep 24 23:53:20 +0000 2024,968,16371,
108,Christina Afangide Okon🇳🇬 BACKUP 🎉❤️,"I got the balloons 🎈 

Happy BIRTHDAY to Me💃🎉 https://t.co/6GomgGQfMS",Tue Sep 24 23:53:33 +0000 2024,51,69,
109,ReNature🦋,Good morning to you all dear friends 🌞☕ https://t.co/nmBGMH0XDh,Tue Sep 24 23:54:20 +0000 2024,35,177,
110,"Oren Gottfried, MD",Ventricular rhythms to know https://t.co/qN2b5iXIA1,Tue Sep 24 23:54:08 +0000 2024,54,345,
111,cutest cats,Baby kitten is so cute 😺💖 https://t.co/DMmAAQl9gF,Tue Sep 24 23:50:00 +0000 2024,46,509,
112,Awesome Jew,"This is not Islamabad, Pakistan. This was Toronto, Canada TONIGHT! Canada has a terrorist problem.

https://t.co/qsLbb7mgwX",Tue Sep 24 23:59:59 +0000 2024,65,273,
113,THE VOICE,"Midnight

https://t.co/SIkfJjkqd6 https://t.co/xodrBrUmhH",Tue Sep 24 23:57:13 +0000 2024,534,4335,
114,AL 🇻🇳,"my september
#LOVEBULLET #ラブ・バレット 💌 https://t.co/hq2LoiprdR",Tue Sep 24 23:49:58 +0000 2024,2784,12197,
115,Liz Churchill,Alex Jones has 90 Days to pay the Sandy Hook Families even though the CIA were caught on undercover camera admitting to framing him so he would be silenced. https://t.co/FgJILaVgRG,Tue Sep 24 23:48:22 +0000 2024,4025,10053,
116,RealN*ggaChallenge 3-0,"Imagine shooting your own 13yr old baby girl in the neck while she has her back turned, walking away from you. Then when you realize she lived, try to convince her to go along with your lie to the police and blame it on another black person smh https://t.co/4wMYElhvyH",Tue Sep 24 23:55:04 +0000 2024,11923,87043,
117,🌸 Q 🍎,nate finally meets hilbert https://t.co/qJiVKubNWN,Tue Sep 24 23:56:20 +0000 2024,823,7328,
118,Syd Divine ~dm for readings~,"having gemini, sagittarius, pisces or virgo placements!! https://t.co/W1sOLunFQW",Tue Sep 24 23:50:57 +0000 2024,94,643,
119,Teresa W,"Mirror mirror on the wall, which color suits me more? 💁‍♀️ 👀 https://t.co/2CH58F4wT4",Tue Sep 24 23:58:16 +0000 2024,11,375,
120,Proud Elephant 🇺🇸🦅,Do you support this plan? 🤔 https://t.co/0zpTHj8Ndp,Tue Sep 24 23:59:36 +0000 2024,84,130,
121,Proud Elephant 🇺🇸🦅,President Trump is right on target! https://t.co/xr5QYSnVAH,Tue Sep 24 23:55:06 +0000 2024,44,114,
122,Republicans against Trump,"Donald Trump: “I feel sharper now than I did 20 years ago. I really do. I don’t know. It’s probably not true.”
(February)
 https://t.co/LEaSecmqjy",Tue Sep 24 23:59:10 +0000 2024,257,1198,
123,PlayStation Polygons,"Late night 1997.

Everyone is asleep apart from you. https://t.co/CqDg5n6wxf",Tue Sep 24 23:54:50 +0000 2024,467,3465,
124,JonnyBlox,"First look at the prototype Glamrock Freddy Hex plush!

Changes for the final product include a shrunken head shape and a spikier lightning bolt 👀

#fnaf #fivenightsatfreddys https://t.co/fQBiTRYcrm",Tue Sep 24 23:48:57 +0000 2024,188,1620,
125,KsonVirus🍕 (FAN),Morning ✨ https://t.co/90UY878kPb,Tue Sep 24 23:59:39 +0000 2024,34,721,
126,MattVidPro AI,"TLDR on Advanced voice:
More censored/lobotomized than most hoped, but still quite capable.

Most voices sound decent, some are better than others.

Interrupting works better than any other system I've tested, but still not perfect.

Rate limit right now. Got about 45 min of https://t.co/QOxGMLnQ8e",Tue Sep 24 23:48:34 +0000 2024,15,227,
127,OBAMA🇬🇭🇺🇸,"Kwesi Arthur - revolution sound 
The country is fuvked  up chaley !https://t.co/nvBPYA4GWj",Tue Sep 24 23:58:58 +0000 2024,170,610,
128,Leviathan,"Once again shutting down the roads in Toronto normally for driving.

What happens if a firetruck or emergency vehicle needs to go through? 🧐 https://t.co/ea37gBPdvz",Tue Sep 24 23:51:17 +0000 2024,83,256,
129,jacob jones,i'm never saying what cigarette was featured in this video.,Tue Sep 24 23:55:31 +0000 2024,2075,83435,
130,Buzz Patterson,"Two years ago today, my dad Major General Bob Patterson, USAF, passed away at the age of 89. 

He was a 33-year Air Force pilot, a Vietnam war veteran, a commander on several levels, and the eventual commander of the Air Force Special Operations Command (AFSOC). 

More https://t.co/F8FnHVjdmd",Tue Sep 24 23:56:11 +0000 2024,351,3839,
131,The Best,"Kindness. 

 https://t.co/TThMOujc30",Tue Sep 24 23:57:20 +0000 2024,89,1025,
132,Teman 𝐁𝐞𝐫𝐜𝐚𝐤𝐚𝐩,This! https://t.co/X5UtslsvLD,Tue Sep 24 23:54:56 +0000 2024,184,942,
133,Breitbart News,"Lady Gaga hands out popcorn at an early screening of the new ""Joker"" movie https://t.co/j4T1ks67yr",Tue Sep 24 23:58:18 +0000 2024,6,40,
134,VTuber Memes,B I G   S T E P P E R https://t.co/diG972eGOj,Tue Sep 24 23:49:43 +0000 2024,291,2332,
135,Jack Poso 🇺🇸,"You’re going to JAIL, Jena",Tue Sep 24 23:53:00 +0000 2024,13363,47890,
136,Sofia Vergara,#agt finale night 🤩 https://t.co/VDPl7097Dx,Tue Sep 24 23:50:47 +0000 2024,145,3575,
137,Faithful Messenger,Amen. Trust God. https://t.co/kmnBmUlUDW,Tue Sep 24 23:54:42 +0000 2024,100,898,
138,Ｗ 𝗜 𝗦 𝗘 𝗖 𝗢 𝗡 𝗡 𝗘 𝗖 𝗧 𝗢 𝗥 ™ 💬,ONE thing https://t.co/tXFwb2Ys4r,Tue Sep 24 23:50:13 +0000 2024,36,292,
139,BannedLagiacrus,"The more I look at its wings, the more questions I ask. 

Arkveld definitely has two whips on each wing it seems, but the art with it chained up is interesting and has me wondering how this beast will connect to the story. https://t.co/NCc0yB0bhC https://t.co/kEO4RLmLQ8",Tue Sep 24 23:59:38 +0000 2024,81,1017,
140,frwontou,bettaver marine https://t.co/mNG8jlpQ4B,Tue Sep 24 23:52:36 +0000 2024,105,3557,
141,The Dan The Man Show 💥,"oh, word? https://t.co/z8BT2tI4F5",Tue Sep 24 23:58:42 +0000 2024,120,987,
142,Stephen Taylor,Do you support the Conservative Party's call for Conservatives to boycott CTV for their misleading edits of Pierre Poilievre? https://t.co/4ofKJd9QIm,Tue Sep 24 23:49:58 +0000 2024,1248,15148,
143,Wall Street Silver,"Tech companies are fleeing California also.

All that will be left soon are illegals, poor people and Hollywood ped0philes. https://t.co/nmRBLuJljj",Tue Sep 24 23:57:29 +0000 2024,316,1349,
144,.◜ㅇ◝,"240924 / 240925 TDS3 WASHINGTON DC #JENO 

perfect side profile https://t.co/JNlLPgX2ZK",Tue Sep 24 23:51:53 +0000 2024,446,1326,
145,auguste,gus with a cat. gn https://t.co/SgEkhMCihH,Tue Sep 24 23:52:54 +0000 2024,1201,13482,
146,Gunther Eagleman™,She was Indian until she ran for Office… Now she is Black. https://t.co/QiBVqE2ifJ,Tue Sep 24 23:57:19 +0000 2024,449,1969,
147,Dirty Tesla,Using Smart Summon at the edge of its larger range. The new radius is a great improvement. https://t.co/OgbRVnz68m,Tue Sep 24 23:50:44 +0000 2024,26,493,
148,𝖍𝖊𝖑𝖔,this photo is so... 😭 https://t.co/HT7iw0HdOJ,Tue Sep 24 23:56:02 +0000 2024,43,855,
149,ً,i  can  turn  you  into  poetry，  but  i  cannot  make  you  love  me.,Tue Sep 24 23:59:51 +0000 2024,548,1415,
150,Amee Vanderpool,"Donald Trump mistakenly says something true, telling an audience: ""We gave you the biggest tax hikes in the history of our country."" https://t.co/wa4qv299mK",Tue Sep 24 23:51:55 +0000 2024,80,272,
